pl_name,hostname,default_flag,pl_orbsmax,pl_rade,pl_radj,pl_masse,st_refname,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_gaiamag
11 Com b,11 Com,1,1.29,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742,19,2.7,93.1846,4.44038
11 UMi b,11 UMi,1,1.53,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213,29.79,2.78,125.321,4.56216
14 And b,14 And,1,0.83,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813,11,2.2,75.4392,4.91781
14 Her b,14 Her,1,2.93,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338,0.93,0.9,17.9323,6.383
16 Cyg B b,16 Cyg B,1,1.66,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750,1.13,1.08,21.1397,6.06428
18 Del b,18 Del,1,2.6,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,G6 III,4979,8.5,2.3,76.222,5.27476
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,330,,,3000,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060,,0.85,139.135,12.0572
24 Boo b,24 Boo,1,0.19,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,G3 IV,4893,10.64,0.99,95.9863,5.3339
24 Sex b,24 Sex,1,1.333,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,72.0691,6.20374
24 Sex c,24 Sex,1,2.08,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,,5098,4.9,1.54,72.0691,6.20374
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,84,,,4131.79,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,52,,,7786.5,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530,,0.4,33.8281,12.9025
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,156,16.141,1.44,4417.837,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064,0.28,0.11,,15.0123
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,15,,,2383.6,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,0.02,,18.9668
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,55,,,1589.15,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,M8,,,0.02,64.308,17.4076
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,0.92,,,603.877,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,,,,0.48,396.332,12.1376
